                                                                                                                                                                                                             ?
©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤jowu@jowu-pset:/drives/e/workspace/script/python$ cat snap.log  | grep 871 | grep -E '\[end|begin\]'
I/start   (  871): [TC:76309][TT:10110] [statusbar] [NQStatusBar::checkDCM()] [check dcm icon index begin]
I/start   (  871): [TC:76323][TT:10112] [statusbar] [NQStatusBar::updateInitialDisplay()] [check communication icon display begin]
I/start   (  871): [TC:76323][TT:10112] [statusbar] [NQStatusBar::updateInitialDisplay()] [check weather icon display begin]
I/start   (  871): [TC:76323][TT:10112] [statusbar] [NQStatusBar::checkWeather()] [check weather icon index begin]
I/start   (  871): [TC:76323][TT:10112] [statusbar] [NQStatusBar::checkWeather()] [getUICFunc isSupportWeather begin]
I/start   (  871): [TC:76326][TT:10115] [appstart] [AppStartCommon::restoreWhenOpeningEnd()] [begin]
I/start   (  871): [TC:76359][TT:10119] [appstart] [AppStartCommon::restoreWhenOpeningEnd()] [reqLastMode begin]
I/start   (  871): [TC:76522][TT:10130] [appstart] [AppStartCommon::restoreWhenOpeningEnd()] [restoreAfterValetMode begin]
I/start   (  871): [TC:76522][TT:10130] [appstart] [AppStartCommon::restoreAfterValetMode()] [begin]
I/start   (  871): [TC:76525][TT:10134] [TDSystemUI] [Caution Screen::onNotifyUpdateCautionDisplay()] [begin]
I/start   (  871): [TC:76551][TT:10157] [TDSystemUI] [Caution Screen::onNotifyUpdateCautionDisplay()] [set text visivle] [end]
I/start   (  871): [TC:76551][TT:10157] [appstart] [AppStartCommon::restoreAfterValetMode()] [end]
I/start   (  871): [TC:76551][TT:10157] [appstart] [AppStartCommon::restoreWhenOpeningEnd()] [end]
I/start   (  871): [TC:76554][TT:10159] [SystemUI] [SystemUICommon::onAwake] [end]  ==============
I/start   (  871): [TC:76555][TT:10159] [SystemUI] [NativeApp_SystemUI::onAwake] [end]


I/start   (  871): [TC:76556][TT:10160] [AppLauncher] [AppContext::onUIInitialize][begin] !!![net.suntec.app.TDSystemUI.application]
I/start   (  871): [TC:76566][TT:10161] [AppLauncher] [AppContext::onUIInitialize][end] !!![net.suntec.app.TDSystemUI.application]



I/start   (  871): [TC:76572][TT:10162] [AppLauncher] [AppContext::onUIAwake][end] !!![net.suntec.app.TDSystemUI.application]



I/start   (  871): [TC:76573][TT:10163] [---------QML---------] [NQGuiApplication::notify] [triggerUpdateEvent] [begin]
I/start   (  871): [TC:77361][TT:10737] [---------QML---------] [NQGuiApplication::notify] [triggerUpdateEvent] [end]



I/start   (  871): [TC:77361][TT:10737] [---------QML---------] [QGuiApplication::notify] [begin]
I/start   (  871): [TC:77444][TT:10812] [---------QML---------] [NQPngTexture::bind] [begin]
I/start   (  871): [TC:77446][TT:10814] [---------QML---------] [NQPngTexture::bind] rebound ok [end]
I/start   (  871): [TC:77456][TT:10823] [---------QML---------] [NQPngTexture::bind] [begin]
I/start   (  871): [TC:77456][TT:10823] [---------QML---------] [NQPngTexture::bind] rebound ok [end]
I/start   (  871): [TC:77457][TT:10824] [---------QML---------] [NQPngTexture::bind] [begin]
I/start   (  871): [TC:77457][TT:10824] [---------QML---------] [NQPngTexture::bind] rebound ok [end]
I/start   (  871): [TC:77457][TT:10824] [---------QML---------] [NQPngTexture::bind] [begin]
I/start   (  871): [TC:77457][TT:10824] [---------QML---------] [NQPngTexture::bind] rebound ok [end]
I/start   (  871): [TC:77461][TT:10828] [---------QML---------] [NQPngTexture::bind] [begin]
I/start   (  871): [TC:77461][TT:10828] [---------QML---------] [NQPngTexture::bind] rebound ok [end]
I/start   (  871): [TC:77461][TT:10828] [---------QML---------] [NQPngTexture::bind] [begin]
I/start   (  871): [TC:77461][TT:10828] [---------QML---------] [NQPngTexture::bind] rebound ok [end]
I/start   (  871): [TC:77462][TT:10829] [---------QML---------] [NQPngTexture::bind] [begin]
